,text,number of annotations,hard_label,soft_label,split,disagreement_lev
1,النسويه يعني نصير رجل قولتك وبعدين اذا الوحده تبا تسرح وتمرح لازم تكون رجال,3,0,"{'0': 1.0, '1': 0.0}",train,0
2,هراء النسويات عمان والمتستر بتضخيم حالات العنف صدفة سلسلة حلقة بدأتها المنظمات الغربية اليسارية ... تقرير قناة الألمانية تدعم تخلف نسويات عمان ... عمان حاليا أصبحت هدف للمنظمات الغربية اليسارية,3,1,"{'0': 0.33, '1': 0.67}",train,1
3,بسبب انتشار الفكر النسوي القد ودعوة النسويات الانحلال والتبرج والسفور والعهر والرذيله والفواحش والتمرد والخروج والعمل المختلط ومزاحمة الشباب الطرقات والأزقة والمقاهي والمولات والأماكن العامة وهن عاريات سافرات منحلات جريئات يبدين زينتهن لكل ودب,3,1,"{'0': 0.0, '1': 1.0}",train,0
4,وقال تعالى الن الل احا الل تأملي هذة الأيه,3,0,"{'0': 1.0, '1': 0.0}",train,0
5,يعني السعوديات صايعات يتنقلو واحد للثاني,3,0,"{'0': 0.67, '1': 0.33}",train,1
6,ميقبلون سافرات بصورة عامة جامعات كربلاء لازم حجاب ولبس محتشم أبــد انصحج تداومين بكربلاء نجف,3,0,"{'0': 0.67, '1': 0.33}",train,1
7,ابلش بصياح الفسويات,3,1,"{'0': 0.33, '1': 0.67}",train,1
8,اجلد الفسويات والمتدثرات والمشهبات الرصاصيات امهات ركب سود حطبات جهنم ولاتبالي,3,1,"{'0': 0.0, '1': 1.0}",train,0
9,يوجد شخص خالط النساء فما بالك بعشرات النساء هاتفك حتما ستقع وستقع زنا الزنا اهون ادمان جنس مزي يجر الحياة يحطمك يلغيك يجعلك الهامش يدمر علاقتك الزوجية,3,1,"{'0': 0.0, '1': 1.0}",train,0
10,كلامعا وين الغلط ليش وقحات الفيمنيزيم انفلتوا هيك المرأه عمرها مارح تتساوى الرجل وعمرها مارح تنحط بنفس الكفه الرجل الله خلق المرأه لأشي معين والرجل لإشي معين والتنين بكملوا استغناء جنس معين فاهمه ليش مقرفات هيك شوفوا الريبلايز وهتعرفوا وقاحتهم,3,1,"{'0': 0.0, '1': 1.0}",train,0
11,الزواج التقليدي سبب عزوف اغلب الرجال النساء معا الحين صعب الواحد ياخذ براي امه لأن الأم معايير زواجها سمعة الزوج الزوجة الطيبة الناس اساسه تقرر الشي بنظر اغلبنا يدل انه الشخص المقدم الزواج تناسبني اخلاقياته معتقداته,3,0,"{'0': 1.0, '1': 0.0}",train,0
12,تعددت الأسباب لايحقلك تبررين ابدا ... الحمدلله عافانا ابتلاهم والله يجبر قلب زوجها ... النساء وخصوصا الزمن يستحقون كلمة امي ... والبعض يبيلهم حرق,3,1,"{'0': 0.0, '1': 1.0}",train,0
13,طلعو فاجرات الحلوات,3,1,"{'0': 0.33, '1': 0.67}",train,1
14,فعلا ليه معصبين نسويات انتو عندكم أسمى مهنه بالحياة المراه شغلتها انها تتكاثر,3,1,"{'0': 0.33, '1': 0.67}",train,1
15,النساء صاروا واليات حاكمات سفيرات ساتر تثقف دينك الملكة بلقيس ههه جهلة اخر زمن,3,0,"{'0': 1.0, '1': 0.0}",train,0
16,لاحظت الذكورين بدؤوا ياخذون منحنى متشدد وتكفيري يارجل واحد المغردين المشهورين بذكوريته خلى السعوديات فاسقات الملتزمة يقول انها فاسقة ماتظهر فسقها أغلب الذكوريين يشوفون احصائيات اجنبية المرأة ويقيسون باقي نساء العالم وهذا خطأ فادح,3,0,"{'0': 0.67, '1': 0.33}",train,1
17,فكره اللبنانيات اكثر نساء متسلطات أزواجهم ومتطلباتهم كثيره جدا ومسويات الزلم مكفخه تقبل تتزوج الا بيت وحدها أمه وياه تقبل يغرك الكلام المثالي المعسول,3,1,"{'0': 0.33, '1': 0.67}",train,1
18,النساء والله تسوى رجال مشكلة الحرمه انها مهمشه زمن طويل الان تغير الوضع وصارت قياديه فكر ومال ومشوره,3,0,"{'0': 1.0, '1': 0.0}",train,0
19,ناقصات عقل الدين عشان شهادة المحكمة الدورة اغلب اهل نار بسبب عدد اناث الارض اكثر اهل الجنة الجنة تحت ارجلنا احنا سبب ادخال اهالينا الجنة سواء امهات اطفال الموت تسوي شريف المصايب كلها جاية منكم الجنة محكورة عليكم فوق انك ناقص دين كمان,3,0,"{'0': 1.0, '1': 0.0}",train,0
20,اعشق المرأة المتحررة واهوى ترويض جموحها,3,0,"{'0': 1.0, '1': 0.0}",train,0
21,النسويه طائفه وحركه الحاديه اصلها الليبراليه اقرئي التاريخ,3,1,"{'0': 0.33, '1': 0.67}",train,1
22,والله هالحريم ناقصات عقل ودين مايعرفون الرجل اذا امتهن الطبخ سيعزف الزواج مشكله لازم نحلها ونحط هالشيء مناهجنا ضروري واللي تخالفنا متدثره خسيسه حقيره واضحه وصريحه صحيح يالحربي,3,1,"{'0': 0.0, '1': 1.0}",train,0
23,والله المشكله الاغبياء الشباب يسوون وبعدين المريضات النسويات يجون ويقولون العيال والعيال يلعن وجه اللي علمهم العيال منهم الا البلاء ياحبيبتي انت وهي ترى الرجال كنت عايشه بامن وامان شغلو عقلكم تكفون العيال خرا ذول,3,1,"{'0': 0.0, '1': 1.0}",train,0
24,لكل مرأة تجعلي حياتك رهن صاحباتك زميلاتك اخواتك قريباتك حسابات نسوية الله امرك بتغطية جسدك ووجهك بالنص القرآني سورة النور التحجج باختلاف المذاهب يجيز ابطال قرآني صريح يأمرك بتغطية وجهك,3,0,"{'0': 1.0, '1': 0.0}",train,0
25,المغاربه اللى بيتكلموا بنات مصر ههه عجبت يازمن طيب اللى بيتريق بنات مصر يروح يلم لحمه وعرضه شوارع أوروبا ومصر والخليج ومش عايز اقول اكتر كدا وماحدش حكالى شوفتهم بعينى,3,1,"{'0': 0.33, '1': 0.67}",train,1
26,النكد صفه النساء فقط صمت وتقطيب وجه ومع يحرق قلب الرجل,3,0,"{'0': 0.67, '1': 0.33}",train,1
27,اله الا الله شدخل النسويه الحين مين قال اني نسويه,3,0,"{'0': 1.0, '1': 0.0}",train,0
28,ويقولو ليه تصيرون نسويات,3,0,"{'0': 1.0, '1': 0.0}",train,0
29,كانت مبسوطةلكن نكدوا عليها الله ينكد عليهم يدمر النساء النساء,3,1,"{'0': 0.33, '1': 0.67}",train,1
30,العلاقة المرأة والرجل تكاملية تنافسية,3,0,"{'0': 1.0, '1': 0.0}",train,0
31,ولإن الأنثى الأنوثة الغير حديثة-مفاهيم بسيادة النظام الأبوي وبالاختلاف الفطري الذكر والأنثى-في قاموس النسويات تمييز جنسي وجب محاربته-تم رفض الاعتراف كونه إحدى الأسلحة الم شهرة النسوية فهم النقد النسوية بالفعل وبشهادة أهلها حرب الفطرة,3,0,"{'0': 0.67, '1': 0.33}",train,1
32,يشمل القبض فاسدات وسائل التواصل مروجات العهر والدعارة,3,1,"{'0': 0.0, '1': 1.0}",train,0
33,ملاكي ملاكي محتاجه حمد وثناء ممكن تطلعي اسي وتعملي كدا ومين عندو درايه انو ربنا ماعاوز يشاقي عبد عبادو وراك لانو الخلقيك ويعلم تكونين سبحان الله ناقصات عقل ودين حقيقه,3,1,"{'0': 0.0, '1': 1.0}",train,0
34,تراني كنت نسويه الانستقرام اغرب شيء كنت اناقش بحساب امي امي ساكته متحمله,3,0,"{'0': 1.0, '1': 0.0}",train,0
35,عبيد الفلبن اغلبهن نسويات كلهن قذرات,3,1,"{'0': 0.0, '1': 1.0}",train,0
36,المرأة أوروبا تتعرض للعنف والاغتصاب بشكل كبير ولكنهم يحاولون التستر علي الموضوع وطمس الحقيقة ينطلقون لمهاجمة الإسلام ويتهمونه بالارهاب وبالعنف المرأة وبأن الحجاب نوع أنواع العنف ضدها,3,0,"{'0': 1.0, '1': 0.0}",train,0
37,المرأة وليس النسويات,3,0,"{'0': 1.0, '1': 0.0}",train,0
38,الله ياخذ عقليه متخلفه مثلك وشرواك طيب انت احذف البرامج اللي تظهر النساء اقولك بلاش تاخذ جوال اصلا,3,0,"{'0': 1.0, '1': 0.0}",train,0
39,القضية علاقة بالشافعي ... كانت إمامة المراة جائزة لكانت عائشة اول إمامة الإسلام الأقل بمثيلاتها النساء يحدث زمن رسول الله بعده شروط الإمامة الذكورة ... فمادخل الشافعي والحنبلي وعبو العايدي الموضوع,3,0,"{'0': 1.0, '1': 0.0}",train,0
40,ىىىرموط كيفي عاجبني قال فاجرات قال,3,0,"{'0': 1.0, '1': 0.0}",train,0
41,ناقصات عقل لأن مهمتها عاطفيه شغال عقلها زين تحكمها عاطفتها بخصوص الدين ناقصات دين لأن الرجل مكلف دينيا اكثر والصلاه مثال لأن تتعب الحمل والحيض ولها الاجر ناقصات دين وليسوا ناقصات ثواب واجرر تتحاسب اللي تكلفت الشيخ الشعراوي,3,0,"{'0': 1.0, '1': 0.0}",train,0
