,text,number of annotations,hard_label,soft_label,split,disagreement_lev
1,<user> <user> No way Jose!!,5,0,"{'0': 1.0, '1': 0.0}",train,0
2,"Good god, what is the matter with people ?",5,0,"{'0': 1.0, '1': 0.0}",train,0
3,<user> <user> <user> <user> Um the Kurds are helping the ppl Of the Ukraine stop Putin/Russian military from overthrowing the Ukrainian government. Trump Endangered the lives of many by cutting US aid in an effort to extort the Ukrainian president for help winning the election Which led to his impeachment .,5,0,"{'0': 0.8, '1': 0.2}",train,2
4,What is WRONG with these people?,5,0,"{'0': 1.0, '1': 0.0}",train,0
5,<user> This earpiece too plus a wire on his sleeves! #CheatingJoeBiden                    ANYONE want to take a stab at telling me what this is.....saw it last night but apparently James Woods saw it also....<url>,5,0,"{'0': 0.8, '1': 0.2}",train,2
6,<user> <user> Please lost you yelling insanely at the sky on Nov 3 losers,5,1,"{'0': 0.4, '1': 0.6000000000000001}",train,1
7,Dang it!!,5,0,"{'0': 1.0, '1': 0.0}",train,0
8,"<user> <user> <user> Just take the L g, or find better evidence",5,0,"{'0': 1.0, '1': 0.0}",train,0
9,Elections have consequences 101:  - Republican voters elected GOP US Senators to prevent leftwing fascists from subverting the SCOTUS;  - Republican voters elected GOP US Senators to put conservatives on the SCOTUS.  Vote <user>  #MAGA <user> <user> #KAG2020 <url>,5,0,"{'0': 0.6000000000000001, '1': 0.4}",train,1
10,<user> <user> I'm in the never catagory.,5,0,"{'0': 1.0, '1': 0.0}",train,0
11,He’s an idiot... pure and simple. How sad for us!,5,1,"{'0': 0.0, '1': 1.0}",train,0
12,"<user> <user> U.S. flu deaths 2015-16: 23,000 U.S. flu deaths 2016-17: 38,000 U.S. flu deaths 2017-18: 61,000 U.S. flu deaths 2018-19: 34,200 U.S. flu deaths 2019-20: 24,000  U.S. COVID deaths in 6 months: 167,000  The mask captures droplets, reducing transmission, lowering the disease's R0.",5,0,"{'0': 1.0, '1': 0.0}",train,0
