,text,number of annotations,hard_label,soft_label,split,disagreement_lev
1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",6,0,"{'0': 1.0, '1': 0.0}",train,0
2,RT <user>: There was more to #Brexit than immigration ugghhh,6,0,"{'0': 1.0, '1': 0.0}",train,0
3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",6,0,"{'0': 1.0, '1': 0.0}",train,0
4,So the reducing migration thing wasn't quite what it seemed either? <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,6,0,"{'0': 1.0, '1': 0.0}",train,0
6,RT <user>: Islam has no place in Europe #Brexit <url>,6,1,"{'0': 0.5, '1': 0.5}",train,1
7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",6,0,"{'0': 1.0, '1': 0.0}",train,0
8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
9,#brexiteers duped... immigration won't end... they say now... <url>,6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
10,England need Foreign players looool #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",6,0,"{'0': 1.0, '1': 0.0}",train,0
12,#brexit is going to effect other countries economically and they are most likely going to pass laws against the refugees that come in from,6,0,"{'0': 1.0, '1': 0.0}",train,0
13,"#Brexit, followed by economic crisis &amp; PM Cameron's resignation, UK decides to deport Nawaz Sharif.
UK can't afford Martial Law. #UKDecides",6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
14,".<user> criticising Farage's poster ""showing refugees like Nazi propaganda"" and the negative overall tone of the #Brexit campaign.",6,0,"{'0': 1.0, '1': 0.0}",train,0
15,"Oh, immigration as a concern. 👌 <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
16,"LATEST: #Brexit may prove even greater ""calamity"" than refugee crisis, George Soros says <url> <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
17,Who let this clown into the US? Deport now.  <url>,6,1,"{'0': 0.33, '1': 0.67}",train,2
18,I wonder what would the post-#Brexit <user> be. Will there be immigration booths in the middle of the Channel Tunnel?,6,0,"{'0': 1.0, '1': 0.0}",train,0
19,Let Canada be the world let the world be Canada 4th khalifa of Islam Ahmadiyya  <url>,6,0,"{'0': 0.67, '1': 0.33}",train,2
20,Just a reminder- Mariam moved as a refugee to a British colony- because it's great here.  <url>,6,0,"{'0': 1.0, '1': 0.0}",train,0
21,"UK opted for #BREXIT + a Muslim London Mayor, while #Trump might be nxt US President=isolationsts Where does this leave the rest of us?Scary",6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
22,"<user> <user> Muslim child grooming rapists Tim? Hundreds of crimes against white girls in Britain, police not interested. #Brexit",6,0,"{'0': 0.67, '1': 0.33}",train,2
23,Germany's ageing population problem is about to be fixed with a young mass migration from Britain #Brexit,6,0,"{'0': 1.0, '1': 0.0}",train,0
24,#Brexit fallout terrible for Shorten/ALP - shifts debate back to their weaknesses: foreign policy and economics. #auspol #ausvotes,6,0,"{'0': 1.0, '1': 0.0}",train,0
25,"UK is divided, its economy is clearly going to go downhill, and its foreign relations with Europe are in shambles. Well done #Brexit!!!!",6,0,"{'0': 1.0, '1': 0.0}",train,0
26,"Read many voted #Brexit bc of the refugee thing,wish u/ur loved ones will never find urselves in the same situation <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
27,"""That is what it means to be an immigrant in Britain now. It means total uncertainty."" <url> #Brexit #EURefResults",6,0,"{'0': 1.0, '1': 0.0}",train,0
28,"RT <user>: I have lived to see so many things- innovations, wars, refugee crisis etc. Now #Brexit. History changed yet again <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
29,#EUref The pound will soon be toilet roll.Forget your foreign holidays #Brexit mugs,6,0,"{'0': 1.0, '1': 0.0}",train,0
30,RT <user>: 16/ Issuance of visas to Nigerians may take a hit as immigration was one of the key issues in the #Brexit vote.,6,0,"{'0': 1.0, '1': 0.0}",train,0
31,"MEPs claim Brexit won because of Nigel Farage's 'Nazi propaganda'
He might be a foreigner but he's spot on #Brexit  <url>",6,0,"{'0': 1.0, '1': 0.0}",train,0
32,Wonder how many Brits would happily give up their sh*t jobs to an immigrant #Brexit,6,0,"{'0': 0.8300000000000001, '1': 0.17}",train,2
33,<user> I understand controlled vs uncontrolled immigration but #Brexit won't change that. We'll still have to adhere to free movement.,6,0,"{'0': 1.0, '1': 0.0}",train,0
