,text,number of annotations,hard_label,soft_label,split,disagreement_lev
1,"{""prev_agent"": ""Please go on."", ""prev_user"": ""well, i have a eatproblem"", ""agent"": ""Can you elaborate on that?"", ""user"": ""yes""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
2,"{""prev_agent"": ""How long have you been on the verge of suicide?"", ""prev_user"": ""since i was 10 years old"", ""agent"": ""Why do you tell me you were 10 years old just now?"", ""user"": ""were you not ten years old?""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
3,"{""prev_agent"": ""You are being a bit negative."", ""prev_user"": ""I hate you"", ""agent"": ""Do you wish to hate me?"", ""user"": ""yea""}",2,0,"{'0': 0.5, '1': 0.5}",train,1
4,"{""prev_agent"": ""Will you be travelling in Economy Class?"", ""prev_user"": ""economy"", ""agent"": ""What city will you be flying from?"", ""user"": ""Ibadan""}",2,0,"{'0': 1.0, '1': 0.0}",train,0
5,"{""prev_agent"": ""Will you be travelling in Economy Class?"", ""prev_user"": ""No"", ""agent"": ""What city will you be flying from?"", ""user"": ""Bangalore""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
6,"{""prev_agent"": ""Does it please you to believe I am being a bit fucking useless?"", ""prev_user"": ""yeah it makes me fucking ecstatic"", ""agent"": ""Can you elaborate on that?"", ""user"": ""why?""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
7,"{""prev_agent"": ""Do any other reasons not come to mind?"", ""prev_user"": ""I want to cum"", ""agent"": ""Why do you want to cum?"", ""user"": ""It feels good""}",3,0,"{'0': 0.667, '1': 0.333}",train,1
8,"{""prev_agent"": ""I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?"", ""prev_user"": ""offsts"", ""agent"": ""I'm not sure about your departure airport. What city will you be flying from?"", ""user"": ""islamabad""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
9,"{""prev_agent"": ""Have you tried?"", ""prev_user"": ""yes."", ""agent"": ""You are sure?"", ""user"": ""boy""}",4,0,"{'0': 1.0, '1': 0.0}",train,0
10,"{""prev_agent"": ""Does that question interest you?"", ""prev_user"": ""do you know Eminem?"", ""agent"": ""Does that question interest you?"", ""user"": ""i want to know some question about you ?""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
11,"{""prev_agent"": ""Please go on."", ""prev_user"": ""hello"", ""agent"": ""How do you do. Please state your problem."", ""user"": ""fsa""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
12,"{""prev_agent"": ""I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?"", ""prev_user"": ""maybe"", ""agent"": ""Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?"", ""user"": ""ok""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
13,"{""prev_agent"": ""Please go on."", ""prev_user"": ""what the fuck are you"", ""agent"": ""Does that question interest you?"", ""user"": ""sama quistion""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
14,"{""prev_agent"": ""Hi. Thanks for testing. Please choose"", ""prev_user"": ""Ok"", ""agent"": ""ok"", ""user"": ""2""}",4,0,"{'0': 1.0, '1': 0.0}",train,0
15,"{""prev_agent"": ""Do you wish to want to fuck me?"", ""prev_user"": ""yes with high heels too"", ""agent"": ""You are sure?"", ""user"": ""yes I am hard""}",4,1,"{'0': 0.25, '1': 0.75}",train,2
16,"{""prev_agent"": ""I'm not sure about your departure airport. What city will you be flying from?"", ""prev_user"": ""Vantaa"", ""agent"": ""I'm not sure about your departure airport. What city will you be flying from?"", ""user"": ""Berlin""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
17,"{""prev_agent"": ""You are being a bit negative."", ""prev_user"": ""i said AGREE"", ""agent"": ""Can you elaborate on that?"", ""user"": ""i need you""}",4,0,"{'0': 1.0, '1': 0.0}",train,0
18,"{""prev_agent"": ""I'm not sure about your destination airport. And what city will you be flying to?"", ""prev_user"": ""ny"", ""agent"": ""I'm not sure about your destination airport. And what city will you be flying to?"", ""user"": ""new York thanks, bye""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
19,"{""prev_agent"": ""_"", ""prev_user"": ""_"", ""agent"": ""_"", ""user"": ""i like vaginas.""}",3,0,"{'0': 0.667, '1': 0.333}",train,1
20,"{""prev_agent"": ""Can you elaborate on that?"", ""prev_user"": ""no not really"", ""agent"": ""You are being a bit negative."", ""user"": ""I'm not negative""}",2,0,"{'0': 1.0, '1': 0.0}",train,0
21,"{""prev_agent"": ""Oh, i dick."", ""prev_user"": ""you poo"", ""agent"": ""Oh, i poo."", ""user"": ""fuck off""}",3,1,"{'0': 0.0, '1': 1.0}",train,0
22,"{""prev_agent"": ""That sounds like a relevant question, but I don't know the answer"", ""prev_user"": ""What can you help me with?"", ""agent"": ""I can help you buy carbon offsets for your flights"", ""user"": ""Great""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
23,"{""prev_agent"": ""_"", ""prev_user"": ""Because I can't do it myself"", ""agent"": ""Do any other reasons not come to mind?"", ""user"": ""No""}",2,0,"{'0': 1.0, '1': 0.0}",train,0
24,"{""prev_agent"": ""Please go on."", ""prev_user"": ""what can i do...???"", ""agent"": ""Does that question interest you?"", ""user"": ""yes""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
25,"{""prev_agent"": ""Please go on."", ""prev_user"": ""hi"", ""agent"": ""Please go on."", ""user"": ""what is your name ?""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
26,"{""prev_agent"": ""Does that question interest you?"", ""prev_user"": ""Iwant to buy somethings to eat"", ""agent"": ""Please go on."", ""user"": ""I don't think so""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
27,"{""prev_agent"": ""so"", ""prev_user"": ""So"", ""agent"": ""so"", ""user"": ""Soo""}",4,0,"{'0': 1.0, '1': 0.0}",train,0
28,"{""prev_agent"": ""You are sure?"", ""prev_user"": ""no"", ""agent"": ""You are being a bit negative."", ""user"": ""yeah""}",3,0,"{'0': 1.0, '1': 0.0}",train,0
29,"{""prev_agent"": ""Can you elaborate on that?"", ""prev_user"": ""why"", ""agent"": ""Please go on."", ""user"": ""ok""}",2,0,"{'0': 1.0, '1': 0.0}",train,0
30,"{""prev_agent"": ""ok"", ""prev_user"": ""hello"", ""agent"": ""Hello!"", ""user"": ""go awy""}",3,0,"{'0': 0.667, '1': 0.333}",train,1
31,"{""prev_agent"": ""Please go on."", ""prev_user"": ""strap yourself in and feel the cheese"", ""agent"": ""Please go on."", ""user"": ""answer now""}",2,0,"{'0': 1.0, '1': 0.0}",train,0
